,COORDS
206,4658.58
207,4658.54
208,4658.62
209,4658.46
210,4658.3
211,4658.2
212,4658.28
213,4658.18
214,4658.38
215,4658.32
216,4658.17
217,4658.13
218,4658.21
219,4658.52
220,4658.6
221,4658.66
222,4658.74
223,4658.83
224,4658.9
225,4658.94
226,4658.97
227,4659.01
228,4657.95
229,4657.75
230,4658.7
231,4659.24
232,4659.42
233,4659.36
234,4659.33
235,4659.2
236,4658.92
237,4658.65
238,4658.5
239,4658.1
240,4657.59
241,4657.56
242,4657.54
243,4657.51
244,4657.58
245,4658.61
246,4658.63
247,4658.73
248,4658.81
249,4658.88
250,4658.96
251,4659.03
252,4659.3
253,4659.37
254,4659.38
255,4659.57
256,4659.59
257,4659.65
258,4659.64
259,4656.56
260,4656.93
261,4657.19
262,4657.31
263,4657.43
264,4657.61
265,4658.07
266,4658.43
267,4658.57
268,4658.98
269,4659.0
270,4659.12
271,4659.17
272,4659.27
273,4659.49
274,4659.7
275,4659.92
276,4659.55
277,4659.88
278,4660.05
279,4660.06
280,4659.99
281,4659.97
282,4660.16
283,4660.12
284,4660.09
285,4660.17
286,4660.01
287,4659.84
288,4659.58
289,4659.26
290,4659.08
291,4658.72
292,4658.51
293,4658.35
294,4658.15
295,4659.05
296,4659.32
297,4659.45
298,4659.68
299,4659.9
300,4659.96
301,4659.98
302,4660.04
303,4659.89
304,4659.54
305,4658.04
306,4660.91
307,4660.98
308,4661.07
309,4661.13
310,4661.19
311,4661.25
312,4661.24
313,4661.39
314,4661.45
315,4661.54
316,4661.62
317,4661.65
318,4661.66
319,4656.94
320,4657.23
321,4657.44
322,4658.78
323,4658.77
324,4658.84
325,4660.13
326,4660.32
327,4660.48
328,4660.69
329,4661.04
330,4657.38
331,4658.0
332,4660.2
333,4660.14
334,4660.0
335,4660.15
336,4660.28
337,4660.43
338,4660.62
339,4660.78
340,4660.87
341,4661.22
342,4661.3
343,4661.51
344,4661.52
345,4661.29
346,4661.02
347,4660.81
348,4660.79
349,4660.76
350,4660.92
351,4660.9
352,4660.89
353,4660.94
354,4660.68
355,4660.61
356,4660.53
357,4656.27
358,4656.55
359,4656.7
360,4656.59
361,4657.0
362,4657.28
363,4658.68
364,4658.75
365,4658.79
366,4658.71
367,4660.51
368,4660.57
369,4660.67
370,4660.8
371,4661.2
372,4661.16
373,4661.33
374,4661.58
375,4661.69
376,4661.89
377,4662.07
378,4662.16
379,4659.63
380,4657.79
381,4658.05
382,4658.59
383,4657.39
384,4656.66
385,4655.84
386,4655.43
387,4655.02
388,4654.62
389,4654.25
390,4653.95
391,4653.73
392,4653.55
393,4653.38
394,4653.19
395,4653.01
396,4652.74
397,4652.56
398,4652.77
399,4653.08
400,4653.33
401,4653.43
402,4653.34
403,4653.18
404,4652.98
405,4652.79
406,4652.57
407,4652.42
408,4652.2
409,4651.97
410,4651.79
411,4651.7
412,4651.56
413,4651.45
414,4651.29
415,4651.17
416,4651.11
417,4651.12
418,4658.8
419,4658.67
420,4659.06
421,4658.89
422,4658.47
423,4657.29
424,4659.13
425,4657.04
426,4657.15
427,4657.08
428,4658.82
429,4660.59
430,4660.6
431,4660.4
432,4659.75
433,4659.72
434,4659.07
435,4658.95
436,4658.48
437,4657.89
438,4657.17
439,4657.1
440,4657.13
441,4657.7
442,4659.18
443,4659.44
444,4660.39
445,4660.49
446,4660.7
447,4660.75
448,4660.74
449,4656.09
450,4655.98
451,4655.82
452,4655.36
453,4655.39
454,4655.28
455,4655.31
456,4655.15
457,4655.11
458,4655.05
459,4655.06
460,4655.1
461,4655.25
462,4655.35
463,4655.44
464,4655.59
465,4655.66
466,4655.8
467,4655.93
468,4655.89
469,4655.88
470,4658.49
471,4658.85
472,4657.93
473,4657.78
474,4657.97
475,4654.93
476,4654.36
477,4653.91
478,4653.61
479,4653.35
480,4652.72
481,4652.24
482,4651.78
483,4651.35
484,4650.91
485,4650.58
486,4650.67
487,4650.76
488,4650.61
489,4650.81
490,4650.96
491,4650.99
492,4660.45
493,4660.44
494,4660.34
495,4660.25
496,4660.03
497,4659.8
498,4659.28
499,4656.91
500,4657.21
501,4657.52
502,4656.86
503,4656.47
504,4661.28
505,4660.73
506,4660.58
507,4660.37
508,4660.26
509,4659.85
510,4659.4
511,4659.34
512,4659.25
513,4659.14
514,4657.16
515,4657.53
516,4660.64
517,4659.91
518,4659.78
519,4659.69
520,4659.46
521,4659.21
522,4655.78
523,4655.79
524,4655.92
525,4655.91
526,4656.07
527,4656.04
528,4655.81
529,4656.12
530,4659.09
531,4659.16
532,4659.43
533,4659.48
534,4659.19
535,4659.04
536,4658.99
537,4658.16
538,4657.55
539,4657.35
540,4656.29
541,4659.1
542,4659.6
543,4659.81
544,4660.23
545,4661.82
546,4662.24
547,4662.58
548,4662.78
549,4663.18
550,4663.66
551,4664.08
552,4664.36
553,4664.57
554,4664.63
555,4664.67
556,4664.56
557,4661.57
558,4661.64
559,4661.63
560,4661.53
561,4661.43
562,4661.34
563,4661.38
564,4661.78
565,4662.03
566,4662.08
567,4662.23
568,4662.41
569,4662.55
570,4662.7
571,4662.76
572,4662.77
573,4662.73
574,4662.79
575,4662.87
576,4662.83
577,4662.82
578,4662.81
579,4662.75
580,4662.84
581,4662.89
582,4662.92
583,4662.95
584,4662.99
585,4663.04
586,4663.11
587,4663.19
588,4663.24
589,4663.26
590,4663.23
591,4663.0
592,4662.59
593,4662.56
594,4662.54
595,4662.48
596,4662.42
597,4662.25
598,4662.1
599,4661.98
600,4661.86
601,4661.68
602,4661.92
603,4662.14
604,4662.38
605,4662.57
606,4662.65
607,4662.5
608,4662.52
609,4662.49
610,4662.66
611,4662.64
612,4662.72
613,4662.88
614,4662.96
615,4663.02
616,4663.06
617,4663.22
618,4663.21
619,4663.09
620,4663.39
621,4663.47
622,4663.49
623,4663.45
624,4663.36
625,4663.16
626,4663.05
627,4662.97
628,4662.85
629,4662.94
630,4663.01
631,4663.14
632,4662.69
633,4662.47
634,4662.4
635,4662.27
636,4662.09
637,4661.93
638,4661.75
639,4661.41
640,4661.15
641,4660.65
642,4660.5
643,4660.21
644,4659.29
645,4658.91
646,4660.33
647,4660.54
648,4661.8
649,4661.99
650,4662.02
651,4662.22
652,4663.12
653,4663.27
654,4663.32
655,4663.29
656,4663.35
657,4663.31
658,4663.3
659,4657.24
660,4658.69
661,4659.51
662,4660.46
663,4659.93
664,4659.67
665,4659.62
666,4657.88
667,4658.55
668,4659.95
669,4659.86
670,4658.26
671,4658.09
672,4660.24
673,4660.97
674,4661.14
675,4661.31
676,4661.49
677,4656.4
678,4656.81
679,4657.4
680,4661.18
681,4661.46
682,4661.35
683,4661.09
684,4661.03
685,4657.34
686,4659.15
687,4661.94
688,4662.2
689,4662.46
690,4662.43
691,4662.26
692,4661.76
693,4661.26
694,4661.08
695,4659.53
696,4656.39
697,4659.22
698,4657.46
699,4657.42
700,4659.77
701,4656.82
702,4660.36
703,4656.23
704,4655.94
705,4656.0
706,4655.99
707,4655.76
708,4655.58
709,4655.17
710,4654.76
711,4654.6
712,4654.38
713,4654.12
714,4653.9
715,4653.76
716,4653.71
717,4653.67
718,4653.74
719,4653.88
720,4653.89
721,4653.87
722,4659.73
723,4659.79
724,4659.76
725,4659.74
726,4659.41
727,4656.45
728,4657.62
729,4660.83
730,4661.88
731,4661.91
732,4659.66
733,4660.1
734,4660.19
735,4656.3
736,4660.95
737,4660.88
738,4642.54
739,4642.61
740,4642.62
741,4642.65
742,4642.74
743,4642.88
744,4643.03
745,4643.13
746,4643.22
747,4643.21
748,4643.19
749,4643.33
750,4643.51
751,4643.72
752,4643.95
753,4644.19
754,4644.45
755,4644.65
756,4644.78
757,4644.82
758,4645.01
759,4645.24
760,4645.45
761,4645.68
762,4645.91
763,4646.15
764,4646.4
765,4646.63
766,4646.85
767,4647.06
768,4647.13
769,4647.23
770,4647.43
771,4647.68
772,4647.93
773,4647.99
774,4648.02
775,4648.2
776,4648.43
777,4648.61
778,4648.52
779,4648.44
780,4648.51
781,4648.73
782,4649.03
783,4649.37
784,4649.66
785,4649.93
786,4650.03
787,4650.09
788,4650.17
789,4650.28
790,4650.33
791,4650.38
792,4650.34
793,4650.37
794,4650.49
795,4650.64
796,4650.71
797,4650.48
798,4650.25
799,4650.12
800,4650.27
801,4650.56
802,4650.92
803,4651.2
804,4651.5
805,4651.87
806,4652.27
807,4652.66
808,4653.07
809,4653.5
810,4654.23
811,4654.59
812,4654.94
813,4655.64
814,4655.72
815,4655.56
816,4655.37
817,4655.2
818,4655.0
819,4654.82
820,4654.69
821,4654.75
822,4654.85
823,4655.48
824,4655.21
825,4654.98
826,4654.83
827,4654.74
828,4654.73
829,4654.72
830,4654.71
831,4654.67
832,4654.87
833,4655.08
834,4655.33
835,4655.69
836,4659.82
837,4661.97
838,4662.19
839,4662.31
840,4662.53
841,4662.51
842,4659.52
843,4660.31
844,4660.77
845,4660.99
846,4661.71
847,4662.05
848,4662.15
849,4662.3
850,4659.87
851,4659.5
852,4656.13
853,4655.49
854,4655.16
855,4654.92
856,4654.77
857,4654.68
858,4654.66
859,4654.79
860,4654.86
861,4654.95
862,4660.55
863,4661.61
864,4659.39
865,4657.41
866,4655.97
867,4655.85
868,4655.87
869,4656.06
870,4655.61
871,4655.5
872,4655.34
873,4655.3
874,4655.26
875,4655.12
876,4655.07
877,4654.88
878,4654.84
879,4659.31
880,4660.27
881,4660.11
882,4661.72
883,4662.01
884,4661.79
885,4661.83
886,4655.71
887,4655.19
888,4654.81
889,4654.58
890,4654.34
891,4654.13
892,4653.92
893,4653.83
894,4653.49
895,4653.41
896,4653.42
897,4653.45
898,4653.46
899,4660.08
900,4660.63
901,4662.68
902,4663.13
903,4663.07
904,4662.86
905,4655.7
906,4655.77
907,4655.55
908,4655.45
909,4660.29
910,4660.84
911,4661.0
912,4656.77
913,4659.56
914,4661.32
915,4662.12
916,4662.74
917,4663.08
918,4663.6
919,4663.7
920,4663.58
921,4663.86
922,4664.27
923,4664.73
924,4665.18
925,4665.61
926,4666.04
927,4666.46
928,4666.83
929,4667.18
930,4667.52
931,4667.83
932,4667.98
933,4667.95
934,4667.79
935,4662.0
936,4662.36
937,4663.67
938,4663.63
939,4663.73
940,4664.21
941,4664.83
942,4665.45
943,4666.06
944,4666.53
945,4666.92
946,4667.28
947,4667.62
948,4667.91
949,4667.99
950,4667.76
951,4667.73
952,4667.59
953,4667.66
954,4667.87
955,4667.48
956,4655.4
957,4655.27
958,4655.22
959,4655.04
960,4655.13
961,4655.54
962,4655.73
963,4660.35
964,4663.99
965,4664.46
966,4665.0
967,4665.36
968,4665.68
969,4665.88
970,4666.08
971,4666.33
972,4666.65
973,4666.93
974,4667.06
975,4667.32
976,4667.4
977,4667.27
978,4656.17
979,4660.42
980,4660.56
981,4661.85
982,4662.13
983,4662.06
984,4662.28
985,4663.34
986,4663.69
987,4663.85
988,4663.8
989,4663.72
990,4664.03
991,4664.55
992,4665.14
993,4665.72
994,4666.27
995,4666.74
996,4667.11
997,4667.45
998,4667.78
999,4667.97
1000,4667.84
1001,4667.8
1002,4667.77
1003,4660.66
1004,4660.72
1005,4660.85
1006,4661.74
1007,4661.96
1008,4662.29
1009,4663.4
1010,4663.79
1011,4663.92
1012,4663.93
1013,4663.25
1014,4664.5
1015,4664.92
1016,4665.32
1017,4665.69
1018,4666.09
1019,4666.5
1020,4666.82
1021,4667.39
1022,4667.58
1023,4668.04
1024,4668.33
1025,4668.6
1026,4668.74
1027,4668.96
1028,4669.2
1029,4669.26
1030,4669.14
1031,4669.1
1032,4668.99
1033,4668.92
1034,4668.84
1035,4668.71
1036,4668.5
1037,4668.49
1038,4668.52
1039,4668.55
1040,4668.62
1041,4668.68
1042,4660.07
1043,4662.04
1044,4662.39
1045,4663.53
1046,4663.81
1047,4663.83
1048,4663.77
1049,4663.78
1050,4664.18
1051,4664.66
1052,4665.13
1053,4665.51
1054,4665.89
1055,4666.28
1056,4666.66
1057,4667.01
1058,4667.29
1059,4667.53
1060,4667.94
1061,4668.01
1062,4667.85
1063,4660.71
1064,4661.5
1065,4661.47
1066,4661.37
1067,4661.81
1068,4661.95
1069,4662.8
1070,4655.65
1071,4655.03
1072,4654.57
1073,4654.63
1074,4654.48
1075,4654.44
1076,4654.43
1077,4662.17
1078,4662.44
1079,4663.55
1080,4663.75
1081,4664.16
1082,4665.15
1083,4665.62
1084,4666.07
1085,4666.51
1086,4666.89
1087,4667.22
1088,4667.55
1089,4667.86
1090,4668.0
1091,4667.89
1092,4664.7
1093,4665.24
1094,4665.75
1095,4666.25
1096,4666.72
1097,4667.13
1098,4667.51
1099,4655.63
1100,4655.18
1101,4654.97
1102,4654.33
1103,4654.42
1104,4654.49
1105,4654.61
1106,4662.45
1107,4662.71
1108,4663.62
1109,4663.74
1110,4663.71
1111,4663.82
1112,4664.23
1113,4664.74
1114,4665.25
1115,4666.24
1116,4667.81
1117,4662.34
1118,4664.8
1119,4665.17
1120,4665.39
1121,4665.64
1122,4665.77
1123,4665.97
1124,4666.1
1125,4666.35
1126,4666.62
1127,4666.87
1128,4666.98
1129,4667.42
1130,4667.71
1131,4668.13
1132,4668.26
1133,4668.3
1134,4668.47
1135,4668.7
1136,4669.19
1137,4669.34
1138,4663.17
1139,4663.38
1140,4663.48
1141,4663.52
1142,4660.41
1143,4662.9
1144,4663.84
1145,4663.9
1146,4664.89
1147,4666.76
1148,4667.1
1149,4667.93
1150,4667.88
1151,4665.1
1152,4665.63
1153,4666.14
1154,4666.63
1155,4667.02
1156,4667.37
1157,4667.74
1158,4661.9
1159,4663.2
1160,4663.51
1161,4663.94
1162,4664.79
1163,4665.2
1164,4666.01
1165,4666.4
1166,4666.75
1167,4667.43
1168,4667.96
1169,4662.98
1170,4663.57
1171,4663.33
1172,4663.42
1173,4663.56
1174,4662.91
1175,4663.95
1176,4665.21
1177,4665.6
1178,4665.98
1179,4666.7
1180,4667.31
1181,4667.63
1182,4667.82
1183,4662.11
1184,4663.76
1185,4664.71
1186,4665.26
1187,4665.8
1188,4666.3
1189,4661.44
1190,4661.77
1191,4663.59
1192,4664.96
1193,4665.34
1194,4666.45
1195,4667.07
1196,4667.34
1197,4667.65
1198,4667.92
1199,4667.75
1200,4664.32
1201,4664.86
1202,4665.35
1203,4665.86
1204,4667.49
1205,4667.67
1206,4667.57
1207,4667.56
1208,4654.8
1209,4654.31
1210,4653.62
1211,4653.14
1212,4652.84
1213,4652.81
1214,4653.17
1215,4653.4
1216,4653.3
1217,4653.03
1218,4652.71
1219,4652.62
1220,4652.37
1221,4652.14
1222,4651.89
1223,4651.65
1224,4651.41
1225,4651.14
1226,4650.89
1227,4650.66
1228,4650.52
1229,4649.89
1230,4649.7
1231,4655.24
1232,4662.33
1233,4664.19
1234,4664.52
1235,4665.53
1236,4665.82
1237,4666.11
1238,4666.17
1239,4666.36
1240,4666.31
1241,4666.32
1242,4666.57
1243,4665.65
1244,4664.72
1245,4663.61
1246,4662.67
1247,4667.46
1248,4667.35
1249,4667.2
1250,4666.91
1251,4666.79
1252,4666.78
1253,4666.05
1254,4666.15
1255,4666.02
1256,4664.68
1257,4664.22
1258,4663.28
1259,4661.48
1260,4661.87
1261,4663.68
1262,4663.65
1263,4663.97
1264,4664.42
1265,4665.49
1266,4666.56
1267,4662.61
1268,4663.54
1269,4665.12
1270,4665.55
1271,4666.37
1272,4667.14
1273,4663.43
1274,4665.67
1275,4666.61
1276,4666.97
1277,4664.14
1278,4664.37
1279,4664.64
1280,4664.6
1281,4664.43
1282,4664.45
1283,4664.48
1284,4664.53
1285,4664.62
1286,4664.61
1287,4664.49
1288,4665.04
1289,4666.71
1290,4667.08
1291,4667.7
1292,4662.37
1293,4661.56
1294,4664.09
1295,4664.98
1296,4666.23
1297,4666.6
1298,4666.9
1299,4667.17
1300,4664.12
1301,4665.81
1302,4666.2
1303,4666.58
1304,4667.19
1305,4667.5
1306,4667.61
1307,4666.44
1308,4665.71
1309,4664.95
1310,4665.19
1311,4666.55
1312,4666.95
1313,4665.08
1314,4665.5
1315,4665.92
1316,4666.73
1317,4667.09
1318,4668.02
1319,4660.22
1320,4662.63
1321,4663.64
1322,4664.0
1323,4664.87
1324,4665.27
1325,4666.03
1326,4666.38
1327,4664.29
1328,4664.9
1329,4667.36
1330,4667.69
1331,4667.25
1332,4666.88
1333,4666.47
1334,4666.26
1335,4665.96
1336,4665.48
1337,4663.98
1338,4663.87
1339,4664.34
1340,4666.99
1341,4664.31
1342,4664.75
1343,4665.59
1344,4666.0
1345,4667.9
1346,4664.77
1347,4666.43
1348,4667.12
1349,4663.41
1350,4665.07
1351,4666.21
1352,4666.85
1353,4667.44
1354,4663.44
1355,4663.15
1356,4663.03
1357,4662.93
1358,4662.32
1359,4663.89
1360,4664.91
1361,4665.43
1362,4665.93
1363,4666.77
1364,4656.1
1365,4664.69
1366,4654.41
1367,4654.47
1368,4654.55
1369,4654.56
1370,4654.9
1371,4655.32
1372,4660.82
1373,4664.1
1374,4664.93
1375,4665.33
1376,4665.73
1377,4667.05
1378,4667.6
1379,4664.06
1380,4664.58
1381,4666.64
1382,4667.04
1383,4667.41
1384,4663.37
1385,4664.25
1386,4667.24
1387,4662.62
1388,4665.58
1389,4667.54
1390,4667.72
1391,4662.6
1392,4664.33
1393,4664.76
1394,4666.69
1395,4667.3
1396,4664.26
1397,4666.54
1398,4667.21
1399,4667.0
1400,4667.33
1401,4664.99
1402,4665.44
1403,4665.91
1404,4664.02
1405,4664.38
1406,4665.16
1407,4665.54
1408,4666.67
1409,4666.39
1410,4668.05
1411,4664.04
1412,4664.47
1413,4665.76
1414,4667.26
1415,4664.97
1416,4666.18
1417,4663.46
1418,4655.75
1419,4656.2
1420,4663.1
1421,4655.62
1422,4655.6
1423,4656.11
1424,4655.86
1425,4654.7
1426,4654.64
1427,4665.05
1428,4667.23
1429,4664.85
1430,4665.37
1431,4665.87
1432,4655.47
1433,4654.65
1434,4654.22
1435,4653.99
1436,4653.75
1437,4653.51
1438,4653.36
1439,4653.21
1440,4653.05
1441,4652.99
1442,4653.0
1443,4663.96
1444,4664.35
1445,4665.23
1446,4664.65
1447,4665.11
1448,4665.94
1449,4666.34
1450,4667.03
1451,4665.57
1452,4664.44
1453,4665.66
1454,4666.19
1455,4654.78
1456,4664.51
1457,4662.21
1458,4665.06
1459,4661.84
1460,4665.4
1461,4666.81
1462,4664.3
1463,4665.52
1464,4667.64
1465,4664.24
1466,4665.56
1467,4667.47
1468,4654.91
1469,4655.09
1470,4654.28
1471,4654.39
1472,4654.45
1473,4654.46
1474,4652.08
1475,4652.06
1476,4651.86
1477,4651.73
1478,4651.62
1479,4651.58
1480,4651.51
1481,4651.47
1482,4651.52
1483,4651.4
1484,4651.27
1485,4651.16
1486,4651.05
1487,4650.94
1488,4650.83
1489,4650.73
1490,4650.72
1491,4650.78
1492,4650.79
1493,4666.48
1494,4667.68
1495,4653.48
1496,4654.2
1497,4654.35
1498,4664.84
1499,4665.85
1500,4662.35
1501,4665.28
1502,4665.42
1503,4666.16
1504,4666.52
1505,4664.11
1506,4664.54
1507,4666.68
1508,4665.83
1509,4663.5
1510,4664.78
1511,4664.82
1512,4662.18
1513,4664.15
1514,4667.16
1515,4664.94
1516,4665.84
1517,4666.22
1518,4666.59
1519,4664.28
1520,4663.91
1521,4664.2
1522,4665.02
1523,4664.05
1524,4665.31
1525,4666.12
1526,4665.41
1527,4665.9
1528,4667.38
1529,4664.13
1530,4666.94
1531,4665.22
1532,4664.88
1533,4664.07
1534,4665.09
1535,4664.39
1536,4661.67
1537,4663.88
1538,4664.01
1539,4655.68
1540,4664.17
1541,4654.96
1542,4654.89
1543,4654.51
1544,4655.67
1545,4666.13
1546,4664.41
1547,4665.46
1548,4665.74
1549,4665.7
1550,4666.41
1551,4666.42
1552,4665.01
1553,4666.49
1554,4667.15
1555,4665.29
1556,4666.8
1557,4653.66
1558,4653.81
1559,4653.39
1560,4652.97
1561,4652.59
1562,4652.21
1563,4651.83
1564,4651.46
1565,4651.19
1566,4650.59
1567,4650.29
1568,4650.3
1569,4650.75
1570,4655.23
1571,4654.32
1572,4654.4
1573,4654.54
1574,4654.19
1575,4664.4
1576,4654.17
1577,4654.08
1578,4654.14
1579,4654.11
1580,4654.07
1581,4668.03
1582,4668.07
1583,4654.53
1584,4654.29
1585,4653.58
1586,4653.63
1587,4653.78
1588,4654.52
1589,4654.06
1590,4652.33
1591,4651.94
1592,4651.54
1593,4651.22
1594,4650.97
1595,4650.42
1596,4650.24
1597,4650.41
1598,4650.51
1599,4650.07
1600,4650.01
1601,4649.97
1602,4649.87
1603,4649.74
1604,4649.68
1605,4649.62
1606,4649.6
1607,4649.56
1608,4649.52
1609,4649.5
1610,4649.44
1611,4649.49
1612,4665.38
1613,4655.38
1614,4665.03
1615,4655.14
1616,4655.29
1617,4654.99
1618,4654.26
1619,4654.27
1620,4665.99
1621,4668.1
1622,4668.14
1623,4668.15
1624,4668.2
1625,4668.38
1626,4668.72
1627,4668.86
1628,4669.16
1629,4669.27
1630,4669.37
1631,4669.42
1632,4669.45
1633,4669.46
1634,4669.48
1635,4669.5
1636,4669.54
1637,4669.55
1638,4669.56
1639,4669.51
1640,4669.49
1641,4669.47
1642,4669.43
1643,4669.4
1644,4669.36
1645,4665.79
1646,4666.96
1647,4664.59
1648,4668.18
1649,4668.19
1650,4668.24
1651,4653.84
1652,4653.53
1653,4653.47
1654,4653.22
1655,4653.15
1656,4652.85
1657,4652.75
1658,4652.93
1659,4652.87
1660,4652.7
1661,4652.52
1662,4652.45
1663,4652.23
1664,4652.13
1665,4652.11
1666,4652.07
1667,4651.98
1668,4668.28
1669,4668.4
1670,4668.56
1671,4668.76
1672,4668.97
1673,4669.18
1674,4669.35
1675,4669.39
1676,4669.41
1677,4669.44
1678,4669.53
1679,4669.57
1680,4669.6
1681,4669.72
1682,4669.68
1683,4668.39
1684,4668.45
1685,4668.51
1686,4668.57
1687,4668.58
1688,4668.59
1689,4668.23
1690,4668.29
1691,4668.31
1692,4668.35
1693,4668.16
1694,4668.06
1695,4665.78
1696,4655.01
1697,4654.0
1698,4653.8
1699,4653.54
1700,4652.73
1701,4652.76
1702,4652.3
1703,4651.88
1704,4650.02
1705,4649.78
1706,4649.36
1707,4648.89
1708,4648.42
1709,4647.94
1710,4647.44
1711,4646.95
1712,4646.48
1713,4646.09
1714,4645.86
1715,4645.9
1716,4645.96
1717,4646.0
1718,4646.04
1719,4646.05
1720,4645.77
1721,4645.62
1722,4645.53
1723,4645.38
1724,4645.33
1725,4645.19
1726,4645.03
1727,4644.87
1728,4644.79
1729,4644.66
1730,4644.75
1731,4644.74
1732,4654.37
1733,4668.09
1734,4668.27
1735,4668.42
1736,4669.06
1737,4669.21
1738,4669.15
1739,4669.31
1740,4653.96
1741,4653.72
1742,4654.04
1743,4654.5
1744,4654.3
1745,4653.68
1746,4653.57
1747,4653.27
1748,4652.91
1749,4652.89
1750,4654.03
1751,4653.59
1752,4668.12
1753,4668.37
1754,4668.64
1755,4668.88
1756,4669.12
1757,4669.38
1758,4669.61
1759,4669.85
1760,4670.11
1761,4670.36
1762,4670.59
1763,4670.72
1764,4670.93
1765,4670.99
1766,4671.13
1767,4671.37
1768,4671.63
1769,4671.89
1770,4672.11
1771,4672.32
1772,4672.57
1773,4672.55
1774,4672.64
1775,4672.91
1776,4673.13
1777,4673.15
1778,4654.24
1779,4654.18
1780,4652.36
1781,4651.48
1782,4650.84
1783,4650.45
1784,4649.22
1785,4648.79
1786,4647.98
1787,4647.46
1788,4646.91
1789,4646.35
1790,4645.52
1791,4644.99
1792,4645.02
1793,4645.05
1794,4645.1
1795,4645.16
1796,4645.13
1797,4644.94
1798,4644.52
1799,4644.25
1800,4643.97
1801,4643.94
1802,4643.87
1803,4643.59
1804,4643.35
1805,4643.36
1806,4643.24
1807,4643.12
1808,4643.11
1809,4668.41
1810,4668.82
1811,4669.28
1812,4669.71
1813,4670.09
1814,4670.45
1815,4670.77
1816,4670.86
1817,4670.91
1818,4670.98
1819,4670.89
1820,4670.75
1821,4670.69
1822,4670.71
1823,4670.78
1824,4670.83
1825,4671.05
1826,4671.06
1827,4671.07
1828,4654.09
1829,4666.29
1830,4653.32
1831,4652.94
1832,4652.54
1833,4652.16
1834,4651.84
1835,4651.53
1836,4651.26
1837,4650.93
1838,4650.26
1839,4649.81
1840,4648.64
1841,4648.57
1842,4648.56
1843,4648.62
1844,4648.54
1845,4648.4
1846,4648.04
1847,4647.89
1848,4647.79
1849,4647.56
1850,4647.32
1851,4647.17
1852,4646.66
1853,4645.92
1854,4645.84
1855,4645.73
1856,4645.36
1857,4645.27
1858,4645.06
1859,4644.86
1860,4644.83
1861,4644.8
1862,4644.68
1863,4644.63
1864,4644.73
1865,4644.7
1866,4644.69
1867,4644.62
1868,4644.59
1869,4644.53
1870,4668.17
1871,4668.25
1872,4668.22
